pid,name,district,district_en,metro,metro_en,x_coord,y_coord
BX10029470,双拥街地铁站C口,龙岗区,Longgang District,双拥街,Shuangyongjie,12704558.897939753,2595897.628616483
BX10029468,双拥街地铁站A口,龙岗区,Longgang District,双拥街,Shuangyongjie,12704677.4815369,2595867.9983977936
BX10029469,双拥街地铁站B2口,龙岗区,Longgang District,双拥街,Shuangyongjie,12704742.844261112,2596026.126306619
BX10029471,双拥街地铁站B1口,龙岗区,Longgang District,双拥街,Shuangyongjie,12704678.367017576,2595983.6902131983
BX10029559,平湖地铁站A口,龙岗区,Longgang District,平湖,Pinghu,12703805.262466278,2595255.130777426
BX10029459,平湖地铁站B口,龙岗区,Longgang District,平湖,Pinghu,12703968.979599135,2595397.7926945616
BX10029457,平湖地铁站C口,龙岗区,Longgang District,平湖,Pinghu,12703873.617670413,2595446.41433629
BX10029560,平湖地铁站D口,龙岗区,Longgang District,平湖,Pinghu,12703765.446088098,2595280.4176318957
BX10029525,禾花地铁站B口,龙岗区,Longgang District,禾花,Hehua,12703387.5545457,2594533.6676086774
BX10029524,禾花地铁站C口,龙岗区,Longgang District,禾花,Hehua,12703316.871501306,2594293.7892643698
BX10029526,禾花地铁站A口,龙岗区,Longgang District,禾花,Hehua,12703370.842907287,2594284.072856204
BX10029500,华南城地铁站A口,龙岗区,Longgang District,华南城,Huanancheng,12703514.768927759,2593067.1397503763
BX10029499,华南城地铁站D口,龙岗区,Longgang District,华南城,Huanancheng,12703434.1296987,2593299.247774405
BX10029498,华南城地铁站C口,龙岗区,Longgang District,华南城,Huanancheng,12703483.53170886,2593279.517725447
BX10029497,华南城地铁站出入口,龙岗区,Longgang District,华南城,Huanancheng,12703539.737543117,2593252.076134037
BX10029506,木古地铁站B口,龙岗区,Longgang District,木古,Mugu,12703508.327629363,2592625.190153217
BX10029505,木古地铁站C口,龙岗区,Longgang District,木古,Mugu,12703454.465919852,2592623.8066201047
BX10029573,木古地铁站A口,龙岗区,Longgang District,木古,Mugu,12703572.793560784,2592476.902006916
BX10029572,木古地铁站D口,龙岗区,Longgang District,木古,Mugu,12703453.363467462,2592413.331348089
BX10029476,上李朗地铁站C口,龙岗区,Longgang District,上李朗,Shanglilang,12703957.565843157,2590464.9807066484
BX10029475,上李朗地铁站A口,龙岗区,Longgang District,上李朗,Shanglilang,12704060.611826304,2590654.3339505387
BX10029477,上李朗地铁站B口,龙岗区,Longgang District,上李朗,Shanglilang,12703976.515122881,2590651.8185211173
BX10029480,凉帽山地铁站E口,龙岗区,Longgang District,凉帽山,Liangmaoshan,12703134.505733456,2589648.4759234507
BX10029481,凉帽山地铁站D1口,龙岗区,Longgang District,凉帽山,Liangmaoshan,12702981.300851207,2589738.6652027788
BX10029562,凉帽山地铁站A口,龙岗区,Longgang District,凉帽山,Liangmaoshan,12703005.950490434,2589590.2307750206
BX10029482,凉帽山地铁站B口,龙岗区,Longgang District,凉帽山,Liangmaoshan,12703137.521285668,2589565.50752708
BX10029478,凉帽山地铁站C口,龙岗区,Longgang District,凉帽山,Liangmaoshan,12703179.780779444,2589566.632701275
BX10029479,凉帽山地铁站D2口,龙岗区,Longgang District,凉帽山,Liangmaoshan,12702985.424477639,2589767.250692212
BX10029518,甘坑地铁站A口,龙岗区,Longgang District,甘坑,Gankeng,12701595.764535815,2589745.649957095
BX10029581,甘坑地铁站C口,龙岗区,Longgang District,甘坑,Gankeng,12701563.88536728,2589884.0868140236
BX10029519,甘坑地铁站B口,龙岗区,Longgang District,甘坑,Gankeng,12701720.237192795,2589840.1247549313
BX10029566,雪象地铁站A口,龙岗区,Longgang District,雪象,Xuexiang,12698503.876150891,2590973.9973635627
BX10029487,雪象地铁站C口,龙岗区,Longgang District,雪象,Xuexiang,12698716.461488549,2590793.491372727
BX10029490,雪象地铁站B口,龙岗区,Longgang District,雪象,Xuexiang,12698579.335134994,2590926.6463190755
BX10029489,雪象地铁站D口,龙岗区,Longgang District,雪象,Xuexiang,12698729.478201514,2590884.4160532677
BX10029563,雪象地铁站E口,龙岗区,Longgang District,雪象,Xuexiang,12698536.592226122,2591032.459194365
BX10029517,岗头地铁站A口,龙岗区,Longgang District,岗头,Gangtou,12697774.15879118,2590791.6362235593
BX10029516,岗头地铁站E口,龙岗区,Longgang District,岗头,Gangtou,12697673.031655237,2590755.468448801
BX10029512,岗头地铁站B口,龙岗区,Longgang District,岗头,Gangtou,12697936.367680447,2590916.4976674304
BX10029513,岗头地铁站D口,龙岗区,Longgang District,岗头,Gangtou,12697804.636767235,2590895.7995402785
BX10029515,岗头地铁站C1口,龙岗区,Longgang District,岗头,Gangtou,12697928.459793475,2591052.1893294565
